id,placename,x,y,code
2743973,Zeldam,52.25667,6.62917,PPL
2743977,Zeist,52.09,5.23333,PPL
2743978,Zeilberg,51.45469,5.81878,PPLX
2743985,Zeyen,53.0475,6.54583,PPL
2743986,Zegwaart,52.06693,4.50769,PPLX
2743990,Zegveld,52.115,4.83611,PPL
2743992,Zegge,51.55667,4.51806,PPL
2743997,Zeewolde,52.33,5.54167,PPL
2744002,Zeesse,52.51167,6.4375,PPL
2744003,Zeerijp,53.34917,6.76111,PPL
2744006,Zeelst,51.42421,5.41566,PPLX
2744007,Zeelberg,51.525,6.14167,PPL
2744008,Zeelberg,51.34,5.475,PPL
2744013,Zeeland,51.85167,6.02778,PPL
2744014,Zeeland,51.6975,5.67639,PPL
2744021,Zeegse,53.06833,6.64583,PPL
2744022,Zeegat,51.2825,4.09306,PPL
2744024,Zeedorp,51.39,3.96806,PPL
2744029,Zedde,52.4825,5.02778,PPL
2744031,Zeddam,51.90333,6.25972,PPL
2744032,Zanegeest,52.67389,4.72478,PPL
2744033,Zandwijk,51.7775,4.975,PPL
2744036,Zandwerven,52.68333,4.94444,PPL
2744038,Zandweerd,52.27002,6.13871,PPLX
2744042,Zandvoort,52.37125,4.53306,PPL
2744049,Zandstroom,53.09583,7.07639,PPL
2744050,Zandstraat,51.26583,3.81111,PPL
2744052,Zandspui,51.55125,4.67743,PPL
2744055,Zandschel,51.66441,4.98299,PPL
2744058,Zandpol,52.69417,6.86528,PPL
2744059,Zandplaat,51.30167,3.77778,PPL
2744060,Zandoerle,51.41583,5.35833,PPL
2744068,Zandkant,51.6649,5.47883,PPL
2744069,Zandkant,51.6325,5.90278,PPL
2744071,Zandhuizen,52.91014,6.15226,PPL
2744073,Zandhoek,51.5975,5.6625,PPL
2744074,Zandhoek,51.51,6.025,PPL
2744076,Zandheuvel,51.88333,5.93889,PPL
2744078,Zandfort,51.43314,4.31934,PPL
2744080,Zandeweer,53.3875,6.68333,PPL
2744083,Zandeind,51.5325,5.0125,PPL
2744084,Zanddijk,51.53956,3.6581,PPL
2744085,Zandburen,52.91667,4.96667,PPL
2744086,Zandbulten,53.25,6.06667,PPL
2744092,Zandberg,52.56514,5.93271,PPLX
2744093,Zandberg,51.57333,4.78472,PPLX
2744094,Zandberg,52.91868,7.02627,PPL
2744095,Zandberg,51.94833,5.34861,PPL
2744096,Zandberg,51.3525,6.06528,PPL
2744097,Zandberg,51.3375,6.02083,PPL
2744098,Zandberg,51.3075,4.10278,PPL
2744100,Zand,51.51,5.74722,PPL
2744102,Zaltbommel,51.81,5.24444,PPL
2744103,Zalné,52.5025,6.13194,PPL
2744104,Zalmplaat,51.85059,4.36892,PPLX
2744107,Zalk,52.52083,6.00833,PPL
2744111,Zaarvlaas,51.5175,5.73611,PPL
2744114,Zaanstad,52.45313,4.81356,PPL
2744116,Zaandijk,52.47494,4.80686,PPL
2744118,Zaandam,52.43854,4.82643,PPL
2744120,Zaamslagveer,51.31167,3.94167,PPL
2744122,Zaamslag,51.3125,3.9125,PPL
2744123,Zaalheuvel,51.75,5.71667,PPLL
2744125,Zaadstukken,52.9782,7.04563,PPL
2744127,Yersekendam,51.49851,4.04011,PPL
2744129,Yerseke,51.4925,4.05,PPL
2744130,Yde,53.11583,6.59306,PPL
2744137,Wulpenbek,51.325,3.8125,PPL
2744138,Wullenhoven,52.21919,5.50691,PPL
2744140,Wouwse Plantage,51.48417,4.3875,PPL
2744142,Wouwse Hil,51.4975,4.39861,PPL
2744145,Wouw,51.52167,4.39028,PPL
2744147,Wâlterswâld,53.3,6.03333,PPL
2744153,Woudsend,52.94357,5.62843,PPL
2744154,Woudse Dijk,52.18967,4.67537,PPL
2744156,Woudrichem,51.815,5.00139,PPL
2744163,Woudenberg,52.08083,5.41667,PPL
2744164,Woudbloem,53.21667,6.7375,PPL
2744165,Woud,51.65417,5.37778,PPL
2744167,Woubrugge,52.17,4.63611,PPL
2744170,Wormingen,52.2,5.96667,PPLX
2744171,Wormerveer,52.49083,4.79028,PPL
2744174,Wormer,52.495,4.80556,PPL
2744179,Workum,52.97969,5.4471,PPL
2744180,Wordragen,51.75667,5.22778,PPL
2744181,Woord,51.79667,5.72361,PPL
2744183,Wooldrik,52.21667,6.91667,PPLX
2744184,Woolderes,52.26772,6.77267,PPLX
2744186,Woolde,52.2721,6.75891,PPL
2744187,Woold,51.93,6.71667,PPL
2744189,Wons,53.08361,5.42364,PPL
2744190,Wonneburen,53.01405,5.43804,PPL
2744191,Wommels,53.10883,5.58749,PPL
2744194,Wolvega,52.87545,5.99691,PPLA2
2744196,Woltersum,53.27083,6.73194,PPL
2744198,Wolsum,53.03626,5.54466,PPL
2744199,Wolphaartsdijk,51.53167,3.81944,PPL
2744200,Wollinghuizen,52.99417,7.14861,PPL
2744201,Wollingboermarke,53.0025,7.17083,PPL
2744203,Wolfswinkel,51.525,5.49306,PPL
2744207,Wolfshuis,50.8425,5.79722,PPL
2744208,Wolfshoek,51.4,5.35556,PPL
2744209,Wolfsbosch,51.56333,5.71389,PPL
2744210,Wolfsbos,52.71734,6.49881,PPLX
2744211,Wolfsberg,51.38333,5.8,PPL
2744214,Wolfsbarge,53.12583,6.72083,PPL
2744219,Wolfheze,52.00333,5.79028,PPL
2744220,Wolfhagen,50.9475,5.89028,PPL
2744221,Wolfhaag,50.75833,6.00139,PPL
2744227,Wolder,50.83752,5.65938,PPLX
2744228,Woldendorp,53.27333,7.03056,PPL
2744235,Wolbert,52.41083,6.08056,PPL
2744237,Wognum,52.68333,5.02222,PPL
2744239,Wogmeer,52.65333,4.91389,PPL
2744241,Woezikrot,51.82156,5.74997,PPL
2744242,Woezik,51.82135,5.73486,PPL
2744243,Woeste Hoeve,52.105,5.95139,PPL
2744246,Woerdense Verlaat,52.155,4.86389,PPL
2744248,Woerden,52.085,4.88333,PPL
2744249,Woerd,51.8525,5.54861,PPL
2744250,Woenselse Heide,51.48333,5.46667,PPLX
2744251,Woensel,51.47561,5.47548,PPLX
2744257,Woensdrecht,51.42897,4.30355,PPL
2744260,It Wytfean,53.16667,6.1,PPL
2744264,Wittewierum,53.28667,6.74722,PPL
2744265,Wittewerf,52.45583,5.10556,PPL
2744269,Witteveen,52.81333,6.66111,PPL
2744270,Witteveen,52.78333,6.35694,PPL
2744279,Witte Paarden,52.80917,6.07778,PPL
2744284,Witten,52.98083,6.51667,PPL
2744287,Wittem,50.8125,5.91389,PPL
2744290,Wittelte,52.82889,6.30774,PPL
2744294,Wittebrink,52.00417,6.29028,PPL
2744301,Witrijt,51.3125,5.26389,PPL
2744303,Witmarsum,53.10452,5.46902,PPL
2744304,Witman,52.63167,6.525,PPL
2744305,Withuis,50.76667,5.72222,PPL
2744308,Witharen,52.56167,6.39583,PPL
2744310,Witdonk,51.3175,5.88889,PPL
2744312,Wissinkhoek,52.07522,6.45215,PPL
2744317,Wissenkerke,51.585,3.74722,PPL
2744318,Wissel,52.3425,5.95972,PPL
2744320,Wissekerke,51.50167,3.84722,PPL
2744324,Wisch,51.92648,6.41705,PPL
2744325,Wirdumerdraai,53.31333,6.78889,PPL
2744326,Wirdum,53.3225,6.78472,PPL
2744327,Wirdum,53.14893,5.80387,PPL
2744328,Wipstrik,52.51293,6.11552,PPLX
2744329,Windraak,50.97333,5.89028,PPL
2744330,Winthagen,50.86333,5.93056,PPL
2744332,Winterswijk,51.9725,6.71944,PPL
2744333,Wintelre,51.44417,5.34028,PPL
2744337,Winsum,53.33,6.52083,PPL
2744338,Winsum,53.1519,5.63359,PPL
2744339,Winssen,51.8825,5.70694,PPL
2744340,Winschoterzijl,53.14205,7.08966,PPL
2744341,Winschoterhoogebrug,53.13083,7.04861,PPL
2744344,Winschoten,53.14417,7.03472,PPL
2744345,Winneweer,53.31,6.74583,PPL
2744347,Winkelstraat,51.43667,5.65417,PPL
2744348,Winkelshoek,52.00167,6.30833,PPL
2744349,Winkelsche Hoek,51.61667,5.16667,PPL
2744352,Winkelerhoek,52.06764,6.44655,PPL
2744354,Winkel,52.75417,4.90278,PPL
2744355,Winkel,51.61333,5.16944,PPL
2744356,Winkel,51.29667,5.58056,PPL
2744360,Kiel-Windeweer,53.1125,6.77917,PPL
2744361,Windesheim,52.4475,6.13194,PPL
2744363,Winde,53.1275,6.52778,PPL
2744364,Windas,51.9375,4.38611,PPL
2744365,Wimmenum,52.63667,4.65694,PPL
2744368,Wilsveen,52.075,4.425,PPL
2744369,Wilsum,52.52833,5.96667,PPL
2744372,Wilp-Achterhoek,52.21167,6.075,PPL
2744373,Wilp,52.21833,6.15,PPL
2744376,Wilnis,52.19667,4.89722,PPL
2744379,Willige Langerak,51.94417,4.87917,PPL
2744382,Willeskop,52.02417,4.91111,PPL
2744386,Willemstad,53.135,6.28889,PPL
2744387,Willemstad,52.96339,6.34966,PPL
2744388,Willemstad,51.69167,4.43889,PPL
2744392,Willemsoord,52.825,6.05972,PPL
2744396,Willemsdorp,51.73,4.63056,PPL
2744408,Willibrordushoek,51.595,5.50694,PPL
2744411,Wilhelmsoord,52.74167,6.85139,PPL
2744417,Wilhelminapark,52.0929,6.06903,PPL
2744418,Wilhelminaoord,52.85583,6.16389,PPL
2744423,Wilhelminadorp,51.52917,3.89722,PPL
2744424,Wilhelminadorp,51.49742,5.39223,PPLX
2744430,Wildervanksterdallen,53.05417,6.88333,PPL
2744431,Wildervank,53.08083,6.8625,PPL
2744432,Wildert,51.46083,4.66944,PPL
2744436,Wilderhof,53.27167,6.90417,PPL
2744437,Wildeplaats,53.02833,6.93472,PPL
2744441,Wildenberg,52.62517,6.38293,PPLL
2744446,Wilbertoord,51.65583,5.775,PPL
2744447,Wilaard,53.20351,5.83277,PPLL
2744450,Wijzend,52.695,5.05139,PPL
2744451,Wijthmen,52.4875,6.17083,PPL
2744453,Wijtgaard,53.14059,5.78293,PPL
2744454,Wijster,52.81667,6.51806,PPL
2744456,Wijnvoorden,52.41083,6.16307,PPL
2744458,Wyns,53.25,5.83333,PPL
2744459,Wijnjewoude,53.05814,6.2047,PPL
2744460,Wijnjeterpverlaat,53.03033,6.16135,PPL
2744467,Wijngaarden,51.845,4.7625,PPL
2744468,Wijnbergen,52.32167,6.01944,PPL
2744469,Wijnbergen,51.94083,6.28056,PPL
2744471,Wijnandsrade,50.90583,5.88333,PPL
2744472,Wijnaldum,53.19518,5.45969,PPL
2744475,Wijmers,52.65083,5.14444,PPL
2744477,Wijlre,50.83333,5.89583,PPL
2744483,Wijk bij Duurstede,51.97417,5.34167,PPL
2744484,Wijk aan Zee,52.4936,4.59409,PPL
2744485,Wijk,52.06667,4.63333,PPLX
2744486,Wijk,50.84813,5.70225,PPLX
2744487,Wijk,51.76667,5.11667,PPL
2744489,Wijhe,52.38667,6.13472,PPL
2744490,Wijgeest,53.28729,6.11755,PPL
2744495,Wijdewormer,52.50024,4.89244,PPL
2744498,Wijdenes,52.635,5.15694,PPL
2744509,Wijckelereebuurt,52.88333,5.61667,PPLL
2744510,Wijckel,52.88814,5.6223,PPL
2744514,Wijchen,51.80917,5.725,PPL
2744516,Wijbosch,51.61667,5.46806,PPL
2744518,Wieuwerd,53.10966,5.68894,PPL
2744520,Wiesel,52.2525,5.93611,PPL
2744522,Wierumerschouw,53.27,6.50278,PPL
2744526,Wierum,53.40055,6.01741,PPL
2744527,Wierum,53.2675,6.51111,PPL
2744530,Wieringerwerf-Zuid,52.84,5.01944,PPL
2744532,Wieringerwerf,52.85083,5.02639,PPL
2744534,Wieringerwaard,52.83583,4.86528,PPL
2744544,Wierhuizen,53.4025,6.42917,PPL
2744549,Wierden,52.35917,6.59306,PPL
2744551,Wier,53.25146,5.62327,PPL
2744554,Wiene,52.235,6.65139,PPL
2744555,Wielwijk,51.78885,4.65358,PPLX
2744557,Wielsche Hoeven,51.62833,5.35694,PPL
2744561,Wieler,51.24083,6.02361,PPL
2744563,Wieldrecht,51.78417,4.63194,PPL
2744564,Wielder,51.45482,6.14983,PPL
2744565,Wielder,51.38215,6.12664,PPL
2744568,Wieksloot,52.16667,5.26667,PPL
2744569,Wieken,51.87,6.35417,PPL
2744570,Wieën,51.51667,5.98333,PPL
2744572,Wie,53.38512,6.03012,PPL
2744573,Wichmond,52.08917,6.25972,PPL
2744574,Wheermolen,52.50858,4.97096,PPLX
2744576,Wezuperbrug,52.84083,6.71944,PPL
2744577,Wezup,52.81083,6.71944,PPL
2744580,Wezep,52.46167,5.99861,PPL
2744581,Wezel,51.83417,5.72917,PPL
2744582,Weverwijk,51.91167,5.01389,PPL
2744583,Weverslo,51.5125,5.92917,PPL
2744584,Wevershoek,51.85583,4.575,PPL
2744586,Weustenrade,50.89917,5.91667,PPL
2744587,Weurt,51.85667,5.81389,PPL
2744588,Wetzens,53.34686,6.03355,PPL
2744592,Weteringbrug,52.22167,4.64583,PPL
2744593,Wetering,52.76333,5.99306,PPL
2744596,Westzaner-Overtoom,52.43333,4.78333,PPL
2744600,Westzaan,52.46417,4.77222,PPL
2744603,Westwoud,52.685,5.13472,PPL
2744608,West-Terschelling,53.35911,5.21482,PPL
2744611,West-Souburg,51.46417,3.59167,PPL
2744612,Westrik,51.59333,4.71944,PPL
2744616,Westpunt,51.86646,4.34617,PPLX
2744625,West-Nieuwland,51.81667,3.9,PPL
2744626,Westmijzen,52.61667,4.9,PPL
2744631,Westmaas,51.78667,4.475,PPL
2744632,Westlaren,53.0848,6.66469,PPL
2744636,West-Knollendam,52.5175,4.78611,PPL
2744639,Westkerke,51.53667,4.09444,PPL
2744642,Westkapelle,51.52917,3.44028,PPL
2744645,Westhoek,53.27599,5.56852,PPL
2744646,Westhoek,51.44947,3.6176,PPL
2744648,Westhem,53.01642,5.5494,PPL
2744650,West-Graftdijk,52.55417,4.79583,PPL
2744653,West Geesteren,52.43167,6.69444,PPL
2744662,Westerzij,52.56667,4.68333,PPL
2744663,Westerzicht,51.46252,3.58687,PPLX
2744665,Westerzand,53.23667,6.30833,PPL
2744669,Westerwijzend,52.68583,5.16667,PPL
2744671,Westerwijtwerd,53.33417,6.64306,PPL
2744672,Westerwijk,51.51083,5.13194,PPL
2744673,Westerwijk,51.47,5.16495,PPLL
2744675,Westervoort,51.95583,5.97222,PPL
2744679,Westervelde,53.05333,6.44167,PPL
2744686,Westervalge,53.39308,6.54562,PPL
2744693,Westerse Bos,52.67,6.85972,PPL
2744704,Westernijkerk,53.32749,5.79683,PPL
2744707,Westernieland,53.40083,6.48333,PPL
2744708,Westermient,53.05917,4.76389,PPL
2744713,Westermeer,52.98503,5.82756,PPL
2744715,Westerlee,53.14583,6.9875,PPL
2744716,Westerlee,51.97333,4.22083,PPL
